"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.00848546054068795,0.0113776922560969,-0.745798036165099,0.455890570867296
"res_b",-0.0634580777504029,0.0270842694375701,-2.34298650353761,0.0192426467927905
