"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0439455031584254,0.0115007815723961,-3.82108840880017,0.000137553189973886
"res_w",0.246749022588563,0.0216363601120506,11.4043684478672,4.2142445062104e-29
